rsid,metabolite_id,p,gene,study,biochemical_name
rs28365087,metabolite_100021331,1.278e-19,unknown,Yin et. al. 2022,metabolonic lactone sulfate
rs118168183,metabolite_100002008,2.552e-52,CYP3A5|CYP3A7|CYP3A43|CYP3A4,Yin et. al. 2022,"5alpha-androstan-3alpha,17alpha-diol monosulfate"
rs45446698,metabolite_100001073,1.11e-308,unknown,Yin et. al. 2022,androsterone sulfate
rs45446698,metabolite_100001287,7.868e-285,CYP3A5|CYP3A7|CYP3A43|CYP3A4,Yin et. al. 2022,epiandrosterone sulfate
rs45446698,metabolite_100001992,1.984e-17,CYP3A5|CYP3A7|CYP3A43|CYP3A4,Yin et. al. 2022,"androstenediol (3beta,17beta) disulfate (1)"
rs45446698,metabolite_100002018,5.209e-243,CYP3A5|CYP3A7|CYP3A43|CYP3A4,Yin et. al. 2022,"5alpha-androstan-3alpha,17beta-diol monosulfate (1)"
rs45446698,metabolite_100002021,2.093e-38,CYP3A5|CYP3A7|CYP3A43|CYP3A4,Yin et. al. 2022,"5alpha-androstan-3beta,17alpha-diol disulfate"
rs45446698,metabolite_100002024,1.644e-160,CYP3A5|CYP3A7|CYP3A43|CYP3A4,Yin et. al. 2022,"5alpha-androstan-3beta,17beta-diol monosulfate (2)"
rs45446698,metabolite_100002027,2.515e-141,CYP3A5|CYP3A7|CYP3A43|CYP3A4,Yin et. al. 2022,"androstenediol (3alpha, 17alpha) monosulfate (3)"
rs45446698,metabolite_100002029,2.605e-24,CYP3A5|CYP3A7|CYP3A43|CYP3A4,Yin et. al. 2022,"androstenediol (3beta,17beta) monosulfate (2)"
rs45446698,metabolite_100002126,2.04e-222,CYP3A5|CYP3A7|CYP3A43|CYP3A4,Yin et. al. 2022,16a-hydroxy DHEA 3-sulfate
rs45446698,metabolite_100002152,2.015e-121,unknown,Yin et. al. 2022,andro steroid monosulfate C19H28O6S (1)*
rs45446698,metabolite_100021331,3.871e-54,unknown,Yin et. al. 2022,metabolonic lactone sulfate
rs11568826,metabolite_100000792,4.743e-52,CYP3A5|CYP3A7|CYP3A43|CYP3A4,Yin et. al. 2022,dehydroepiandrosterone sulfate (DHEA-S)
rs11568826,metabolite_100001250,1.121e-14,CYP3A5|CYP3A7|CYP3A43|CYP3A4,Yin et. al. 2022,tauro-beta-muricholate
rs11568826,metabolite_100002009,8.883e-15,CYP3A5|CYP3A7|CYP3A43|CYP3A4,Yin et. al. 2022,"5alpha-pregnan-3beta,20beta-diol monosulfate (1)"
rs11568826,metabolite_100002028,1.656e-42,CYP3A5|CYP3A7|CYP3A43|CYP3A4,Yin et. al. 2022,"androstenediol (3beta,17beta) monosulfate (1)"
rs11568826,metabolite_100005403,5.308e-24,CYP3A5|CYP3A7|CYP3A43|CYP3A4,Yin et. al. 2022,etiocholanolone glucuronide
rs11568826,metabolite_100020214,1.25e-58,CYP3A5|CYP3A7|CYP3A43|CYP3A4,Yin et. al. 2022,glyco-beta-muricholate**
rs11568824,metabolite_100001987,2.34e-64,CYP3A5|CYP3A7|CYP3A43|CYP3A4,Yin et. al. 2022,"5alpha-androstan-3beta,17beta-diol disulfate"
rs45465393,metabolite_100001073,7.975e-85,unknown,Yin et. al. 2022,androsterone sulfate
rs45465393,metabolite_100001287,3.252e-79,CYP3A5|CYP3A7|CYP3A43|CYP3A4,Yin et. al. 2022,epiandrosterone sulfate
rs45465393,metabolite_100002018,1.622e-70,CYP3A5|CYP3A7|CYP3A43|CYP3A4,Yin et. al. 2022,"5alpha-androstan-3alpha,17beta-diol monosulfate (1)"
rs45465393,metabolite_100002024,6.964e-52,CYP3A5|CYP3A7|CYP3A43|CYP3A4,Yin et. al. 2022,"5alpha-androstan-3beta,17beta-diol monosulfate (2)"
rs45465393,metabolite_100002027,3.629e-38,CYP3A5|CYP3A7|CYP3A43|CYP3A4,Yin et. al. 2022,"androstenediol (3alpha, 17alpha) monosulfate (3)"
rs45465393,metabolite_100002126,2.342e-52,CYP3A5|CYP3A7|CYP3A43|CYP3A4,Yin et. al. 2022,16a-hydroxy DHEA 3-sulfate
rs45465393,metabolite_100002152,1.521e-24,unknown,Yin et. al. 2022,andro steroid monosulfate C19H28O6S (1)*
rs45465393,metabolite_100020214,1.441e-16,CYP3A5|CYP3A7|CYP3A43|CYP3A4,Yin et. al. 2022,glyco-beta-muricholate**
rs1305536436,metabolite_100000792,8.627e-20,CYP3A5|CYP3A7|CYP3A43|CYP3A4,Yin et. al. 2022,dehydroepiandrosterone sulfate (DHEA-S)
rs1305536436,metabolite_100002028,7.998e-20,CYP3A5|CYP3A7|CYP3A43|CYP3A4,Yin et. al. 2022,"androstenediol (3beta,17beta) monosulfate (1)"
rs62471956,metabolite_100004635,6.818e-16,unknown,Yin et. al. 2022,methionine sulfone
rs4729666,metabolite_100001293,5.051e-21,NAT16,Yin et. al. 2022,N-acetylhistidine
rs146438324,metabolite_100001293,1.707e-61,NAT16,Yin et. al. 2022,N-acetylhistidine
rs12674140,metabolite_100001293,1.406e-132,NAT16,Yin et. al. 2022,N-acetylhistidine
rs150214947,metabolite_100001293,4.164e-16,NAT16,Yin et. al. 2022,N-acetylhistidine
rs138989506,metabolite_100002528,1.548e-99,SLC13A1,Yin et. al. 2022,sulfate*
rs201641900,metabolite_100002528,3.781e-16,SLC13A1,Yin et. al. 2022,sulfate*
rs10274304,metabolite_100005403,2.33e-12,AKR1D1,Yin et. al. 2022,etiocholanolone glucuronide
rs7801101,metabolite_100000580,2.356e-23,MGAM,Yin et. al. 2022,"1,5-anhydroglucitol (1,5-AG)"
rs62490434,metabolite_100020487,4.647e-14,AOC1,Yin et. al. 2022,N-acetyl-isoputreanine
rs10952289,metabolite_100020487,5.738e-38,AOC1,Yin et. al. 2022,N-acetyl-isoputreanine
rs10952291,metabolite_100003260,2.321e-27,unknown,Yin et. al. 2022,carboxyethyl-GABA
rs7794796,metabolite_100016038,1.036e-50,AOC1,Yin et. al. 2022,(N(1) + N(8))-acetylspermidine
rs2052130,metabolite_100020487,2.33e-27,AOC1,Yin et. al. 2022,N-acetyl-isoputreanine
rs10156191,metabolite_100016038,2.114e-11,AOC1,Yin et. al. 2022,(N(1) + N(8))-acetylspermidine
rs80116301,metabolite_100003260,1.049e-27,AOC1,Yin et. al. 2022,carboxyethyl-GABA
rs80116301,metabolite_100004541,6.385e-20,AOC1,Yin et. al. 2022,acisoga
rs80116301,metabolite_100020487,2.964e-16,AOC1,Yin et. al. 2022,N-acetyl-isoputreanine
rs111292377,metabolite_100016038,1.009e-18,AOC1,Yin et. al. 2022,(N(1) + N(8))-acetylspermidine
rs4841097,metabolite_100000276,5.754e-12,unknown,Yin et. al. 2022,maltotriose
rs13260471,metabolite_913,5.023e-12,unknown,Yin et. al. 2022,maltose
rs2169387,metabolite_100000015,3.54e-13,unknown,Yin et. al. 2022,xanthurenate
rs111675407,metabolite_100001733,3.39e-17,unknown,Yin et. al. 2022,hexanoylglutamine
rs111675407,metabolite_100002514,1.384e-12,unknown,Yin et. al. 2022,hydantoin-5-propionate
rs4240624,metabolite_340,4.209e-24,unknown,Yin et. al. 2022,glycine
rs6601299,metabolite_254,5.385e-15,unknown,Yin et. al. 2022,3-hydroxybutyrate (BHBA)
rs1461729,metabolite_100001579,3.156e-13,unknown,Yin et. al. 2022,2-hydroxypalmitate
rs1461729,metabolite_100021000,1.813e-11,unknown,Yin et. al. 2022,hydroxypalmitoyl sphingomyelin (d18:1/16:0(OH))**
rs4986782,metabolite_100005466,4.341e-22,NAT2,Yin et. al. 2022,N-acetyltaurine
rs1041983,metabolite_100001402,2.597e-22,NAT2,Yin et. al. 2022,5-acetylamino-6-formylamino-3-methyluracil
rs1801280,metabolite_100001402,4.186e-26,NAT2,Yin et. al. 2022,5-acetylamino-6-formylamino-3-methyluracil
rs4921913,metabolite_100001402,0.0,NAT2,Yin et. al. 2022,5-acetylamino-6-formylamino-3-methyluracil
rs4921913,metabolite_100001403,5.772e-186,NAT2,Yin et. al. 2022,5-acetylamino-6-amino-3-methyluracil
rs4921913,metabolite_100001405,5.577e-135,NAT2,Yin et. al. 2022,1-methylxanthine
rs35246381,metabolite_1113,4.273e-116,NAT2,Yin et. al. 2022,4-acetamidobutanoate
rs35246381,metabolite_192,1.29e-230,NAT2,Yin et. al. 2022,N-acetylputrescine
rs1495743,metabolite_100001253,1.125e-12,NAT2,Yin et. al. 2022,N-acetylglutamine
rs76700131,metabolite_100001402,1.868e-33,NAT2,Yin et. al. 2022,5-acetylamino-6-formylamino-3-methyluracil
rs76700131,metabolite_100001403,1.042e-16,NAT2,Yin et. al. 2022,5-acetylamino-6-amino-3-methyluracil
rs76700131,metabolite_192,1.713e-15,NAT2,Yin et. al. 2022,N-acetylputrescine
rs1511363,metabolite_100001593,3.152e-17,unknown,Yin et. al. 2022,glutarylcarnitine (C5-DC)
rs10504255,metabolite_302,3.66e-13,CYP7A1,Yin et. al. 2022,deoxycholate
rs7846314,metabolite_100015620,5.01e-11,unknown,Yin et. al. 2022,lactosyl-N-nervonoyl-sphingosine (d18:1/24:1)*
rs11775560,metabolite_100009030,1.206e-13,unknown,Yin et. al. 2022,lactosyl-N-palmitoyl-sphingosine (d18:1/16:0)
rs200592548,metabolite_100001126,3.693e-12,GGH,Yin et. al. 2022,gamma-glutamylvaline
rs200592548,metabolite_100001294,1.947e-16,GGH,Yin et. al. 2022,gamma-glutamylglycine
rs200592548,metabolite_100010901,7.113e-12,GGH,Yin et. al. 2022,gamma-glutamyl-alpha-lysine
rs75420013,metabolite_100001313,1.173e-11,GGH,Yin et. al. 2022,gamma-glutamylmethionine
rs72661850,metabolite_100001314,5.364e-11,unknown,Yin et. al. 2022,gamma-glutamylthreonine
rs147183463,metabolite_564,6.456e-17,unknown,Yin et. al. 2022,threonine
rs11329718,metabolite_100015835,3.697e-16,unknown,Yin et. al. 2022,cerotoylcarnitine (C26)*
rs1135451,metabolite_100015832,2.028e-14,unknown,Yin et. al. 2022,behenoylcarnitine (C22)*
rs1135451,metabolite_100015834,2.789e-53,unknown,Yin et. al. 2022,lignoceroylcarnitine (C24)*
rs11992656,metabolite_100015836,3.149e-11,unknown,Yin et. al. 2022,ximenoylcarnitine (C26:1)*
rs11992656,metabolite_100015846,8.251e-19,unknown,Yin et. al. 2022,nervonoylcarnitine (C24:1)*
rs149926554,metabolite_100001426,7.967e-14,unknown,Yin et. al. 2022,3-(3-amino-3-carboxypropyl)uridine*
rs4871603,metabolite_100008952,3.501e-12,TRIB1,Yin et. al. 2022,1-palmitoleoylglycerol (16:1)*
rs138962052,metabolite_100015786,2.553e-11,TRIB1,Yin et. al. 2022,"sphingomyelin (d18:0/20:0, d16:0/22:0)*"
rs4336630,metabolite_100008984,4.565e-11,TRIB1,Yin et. al. 2022,1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*
rs2980868,metabolite_100001511,5.892e-12,TRIB1,Yin et. al. 2022,1-palmitoleoyl-GPC (16:1)*
rs2980869,metabolite_100001461,1.008e-11,TRIB1,Yin et. al. 2022,1-stearoyl-GPE (18:0)
rs2980888,metabolite_100015683,9.465e-12,TRIB1,Yin et. al. 2022,myristoyl-linoleoyl-glycerol (14:0/18:2) [1]*
rs577684444,metabolite_100001609,1.857e-14,unknown,Yin et. al. 2022,7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)
rs889758003,metabolite_35,1.016e-23,PYCR3,Yin et. al. 2022,S-1-pyrroline-5-carboxylate
rs2242090,metabolite_35,4.173e-71,PYCR3,Yin et. al. 2022,S-1-pyrroline-5-carboxylate
rs34121654,metabolite_35,1.196e-41,PYCR3,Yin et. al. 2022,S-1-pyrroline-5-carboxylate
rs782359519,metabolite_1021,1.429e-24,OPLAH,Yin et. al. 2022,5-oxoproline
rs3935209,metabolite_100004499,1.57e-68,OPLAH,Yin et. al. 2022,6-oxopiperidine-2-carboxylate
rs7823319,metabolite_1021,4.385e-169,OPLAH,Yin et. al. 2022,5-oxoproline
rs10113441,metabolite_1021,1.007e-24,OPLAH,Yin et. al. 2022,5-oxoproline
rs191616586,metabolite_93,7.651e-17,unknown,Yin et. al. 2022,alpha-ketoglutarate
rs558946866,metabolite_1021,4.542e-15,OPLAH,Yin et. al. 2022,5-oxoproline
rs552968665,metabolite_100001989,3.586e-12,unknown,Yin et. al. 2022,glycocholenate sulfate*
rs552968665,metabolite_100004182,9.434e-14,unknown,Yin et. al. 2022,3b-hydroxy-5-cholenoic acid
rs552968665,metabolite_100006370,8.616e-16,unknown,Yin et. al. 2022,3beta-hydroxy-5-cholestenoate
rs563277687,metabolite_100001150,4.372e-15,GLDC,Yin et. al. 2022,propionylglycine
rs187662038,metabolite_100001294,1.028e-12,GLDC,Yin et. al. 2022,gamma-glutamylglycine
rs187662038,metabolite_340,6.07e-50,GLDC,Yin et. al. 2022,glycine
rs575426893,metabolite_100000961,3.423e-14,GLDC,Yin et. al. 2022,homoarginine
rs575426893,metabolite_100001006,8.12e-13,GLDC,Yin et. al. 2022,N-acetylglycine
rs1061407,metabolite_100002458,5.652e-13,unknown,Yin et. al. 2022,3-methylglutaconate
rs138640017,metabolite_100001527,2.161e-11,GLDC,Yin et. al. 2022,hexanoylglycine
rs138640017,metabolite_100005850,2.749e-11,unknown,Yin et. al. 2022,3-methylglutarylcarnitine (2)
rs143119940,metabolite_340,2.123e-17,GLDC,Yin et. al. 2022,glycine
rs2773514,metabolite_100002458,3.247e-62,GLDC,Yin et. al. 2022,3-methylglutaconate
rs34932926,metabolite_100005850,1.784e-42,GLDC,Yin et. al. 2022,3-methylglutarylcarnitine (2)
rs34003786,metabolite_100002458,1.249e-16,GLDC,Yin et. al. 2022,3-methylglutaconate
rs869222673,metabolite_100002017,1.536e-12,unknown,Yin et. al. 2022,"5alpha-androstan-3alpha,17beta-diol disulfate"
rs76945317,metabolite_100009272,1.636e-13,unknown,Yin et. al. 2022,glycosyl-N-palmitoyl-sphingosine (d18:1/16:0)
rs116382069,metabolite_100015625,4.199e-11,unknown,Yin et. al. 2022,glycosyl-N-behenoyl-sphingadienine (d18:2/22:0)*
rs4838190,metabolite_100002067,3.809e-11,NR5A1,Yin et. al. 2022,pregnenediol sulfate (C21H34O5S)*
rs504434,metabolite_194,3.657e-33,PTRH1,Yin et. al. 2022,N-formylmethionine
rs118186951,metabolite_100000463,1.284e-11,unknown,Yin et. al. 2022,indolelactate
rs2280842,metabolite_100020219,5.339e-25,KYAT1,Yin et. al. 2022,3-formylindole
rs760643879,metabolite_100020372,3.119e-22,KYAT1,Yin et. al. 2022,3-indoleglyoxylic acid
rs1029625062,metabolite_100000463,2.295e-14,KYAT1,Yin et. al. 2022,indolelactate
rs9409309,metabolite_235,2.83e-14,KYAT1,Yin et. al. 2022,2-hydroxyphenylacetate
rs200167011,metabolite_100010895,6.379e-12,unknown,Yin et. al. 2022,2'-O-methylcytidine
rs4291366,metabolite_100010896,2.895e-262,unknown,Yin et. al. 2022,2'-O-methyluridine
rs17455384,metabolite_100010895,4.269e-192,unknown,Yin et. al. 2022,2'-O-methylcytidine
rs187903567,metabolite_100010895,4.483e-56,unknown,Yin et. al. 2022,2'-O-methylcytidine
rs187903567,metabolite_100010896,9.809e-79,unknown,Yin et. al. 2022,2'-O-methyluridine
rs3118625,metabolite_100001596,4.687e-37,CRAT,Yin et. al. 2022,2-methylmalonylcarnitine (C4-DC)
rs3118625,metabolite_100001948,1.954e-23,CRAT,Yin et. al. 2022,succinylcarnitine (C4-DC)
rs142220556,metabolite_100001948,8.637e-15,CRAT,Yin et. al. 2022,succinylcarnitine (C4-DC)
rs991062205,metabolite_100010896,8.083e-22,unknown,Yin et. al. 2022,2'-O-methyluridine
rs7850549,metabolite_391,2.741e-12,ASS1,Yin et. al. 2022,citrulline
rs146905076,metabolite_391,8.106e-12,ASS1,Yin et. al. 2022,citrulline
rs1381383189,metabolite_100001269,1.012e-11,unknown,Yin et. al. 2022,campesterol
rs77273740,metabolite_1111,1.791e-15,DBH,Yin et. al. 2022,vanillylmandelate (VMA)
rs2519125,metabolite_1023,9.673e-17,SARDH,Yin et. al. 2022,sarcosine
rs766921026,metabolite_1023,2.013e-14,SARDH,Yin et. al. 2022,sarcosine
rs199669245,metabolite_100015971,3.403e-55,AKR1C4,Yin et. al. 2022,cortolone glucuronide (1)
rs71477895,metabolite_100015971,1.614e-34,AKR1C4,Yin et. al. 2022,cortolone glucuronide (1)
rs117849125,metabolite_100002008,1.411e-17,AKR1C4,Yin et. al. 2022,"5alpha-androstan-3alpha,17alpha-diol monosulfate"
rs77714023,metabolite_100002128,3.692e-15,AKR1C4,Yin et. al. 2022,17alpha-hydroxypregnenolone 3-sulfate
rs79618354,metabolite_100001994,7.639e-13,AKR1C4,Yin et. al. 2022,"androstenediol (3beta,17beta) disulfate (2)"
rs7094385,metabolite_100001668,3.376e-46,DHTKD1,Yin et. al. 2022,1-ribosyl-imidazoleacetate*
rs7094385,metabolite_100002910,4.533e-26,DHTKD1,Yin et. al. 2022,1-methyl-5-imidazoleacetate
rs562368962,metabolite_100002102,4.388e-67,unknown,Yin et. al. 2022,N-acetyl-beta-alanine
rs562368962,metabolite_100005466,1.039e-45,unknown,Yin et. al. 2022,N-acetyltaurine
rs142238737,metabolite_100005466,1.827e-27,unknown,Yin et. al. 2022,N-acetyltaurine
rs56959068,metabolite_100002102,1.583e-25,unknown,Yin et. al. 2022,N-acetyl-beta-alanine
rs1331255,metabolite_100002102,1.802e-11,unknown,Yin et. al. 2022,N-acetyl-beta-alanine
rs201684714,metabolite_100005466,1.636e-15,unknown,Yin et. al. 2022,N-acetyltaurine
rs7075357,metabolite_100002102,3.996e-23,unknown,Yin et. al. 2022,N-acetyl-beta-alanine
rs12761399,metabolite_100015840,6.6e-12,ALOX5,Yin et. al. 2022,dihomo-linolenoylcarnitine (C20:3n3 or 6)*
rs71515366,metabolite_100015837,9.151e-13,ALOX5,Yin et. al. 2022,arachidonoylcarnitine (C20:4)
rs10826337,metabolite_100000007,5.726e-29,SLC16A9,Yin et. al. 2022,carnitine
rs1171600,metabolite_100001162,6.292e-16,SLC16A9,Yin et. al. 2022,propionylcarnitine (C3)
rs1171617,metabolite_100000007,2.969e-86,SLC16A9,Yin et. al. 2022,carnitine
rs1171617,metabolite_100001055,3.469e-12,SLC16A9,Yin et. al. 2022,isobutyrylcarnitine (C4)
rs1171617,metabolite_100015837,1.198e-13,SLC16A9,Yin et. al. 2022,arachidonoylcarnitine (C20:4)
rs1171617,metabolite_100020371,9.661e-12,SLC16A9,Yin et. al. 2022,"N,N-dimethylalanine"
rs1171615,metabolite_100000802,4.892e-29,SLC16A9,Yin et. al. 2022,acetylcarnitine (C2)
rs1171615,metabolite_100001662,1.724e-17,SLC16A9,Yin et. al. 2022,deoxycarnitine
rs1171615,metabolite_100001956,4.368e-11,SLC16A9,Yin et. al. 2022,N-methylproline
rs1171615,metabolite_100009271,6.101e-14,SLC16A9,Yin et. al. 2022,(S)-3-hydroxybutyrylcarnitine
rs1171614,metabolite_100000781,4.412e-19,SLC16A9,Yin et. al. 2022,hexanoylcarnitine (C6)
rs1171614,metabolite_100001054,5.859e-18,SLC16A9,Yin et. al. 2022,butyrylcarnitine (C4)
rs1171614,metabolite_100001162,4.087e-38,SLC16A9,Yin et. al. 2022,propionylcarnitine (C3)
rs1171614,metabolite_100001266,3.051e-13,SLC16A9,Yin et. al. 2022,N-acetylarginine
rs1171614,metabolite_100003926,3.268e-12,SLC16A9,Yin et. al. 2022,(R)-3-hydroxybutyrylcarnitine
rs7084707,metabolite_100003271,2.35e-11,unknown,Yin et. al. 2022,beta-citrylglutamate
rs7084707,metabolite_50,1.478e-12,unknown,Yin et. al. 2022,spermidine
rs10882283,metabolite_498,5.931e-12,RBP4,Yin et. al. 2022,retinol (Vitamin A)
rs61604699,metabolite_100020254,1.49e-30,unknown,Yin et. al. 2022,glycine conjugate of C10H14O2 (1)*
rs370247558,metabolite_100001757,3.23e-14,unknown,Yin et. al. 2022,thymol sulfate
rs199850072,metabolite_100021331,1.956e-29,unknown,Yin et. al. 2022,metabolonic lactone sulfate
rs570534055,metabolite_100002126,3.358e-17,CYP2C8|CYP2C9|CYP2C18|CYP2C19,Yin et. al. 2022,16a-hydroxy DHEA 3-sulfate
rs570534055,metabolite_100002152,4.623e-22,CYP2C8|CYP2C9|CYP2C18|CYP2C19,Yin et. al. 2022,andro steroid monosulfate C19H28O6S (1)*
rs11188161,metabolite_100019794,3.535e-11,unknown,Yin et. al. 2022,hydroxy-CMPF*
rs11188162,metabolite_100020004,4.926e-19,unknown,Yin et. al. 2022,3-carboxy-4-methyl-5-pentyl-2-furanpropionate (3-CMPFP)**
rs111328885,metabolite_100002027,5.18e-20,CYP2C8|CYP2C9|CYP2C18|CYP2C19,Yin et. al. 2022,"androstenediol (3alpha, 17alpha) monosulfate (3)"
rs140162222,metabolite_100001170,2.66e-15,ACSM6,Yin et. al. 2022,3-hydroxy-2-ethylpropionate
rs10883083,metabolite_231,1.481e-16,PYROXD2,Yin et. al. 2022,arginine
rs67261814,metabolite_100001989,1.056e-17,ABCC2,Yin et. al. 2022,glycocholenate sulfate*
rs146405172,metabolite_100001989,2.412e-32,ABCC2,Yin et. al. 2022,glycocholenate sulfate*
rs146405172,metabolite_100009264,2.941e-14,ABCC2,Yin et. al. 2022,glycochenodeoxycholate glucuronide (1)
rs603424,metabolite_100001198,1.502e-16,SCD,Yin et. al. 2022,myristoleate (14:1n5)
rs603424,metabolite_100001232,2.395e-17,SCD,Yin et. al. 2022,5-dodecenoate (12:1n7)
rs603424,metabolite_100001511,3.759e-14,SCD,Yin et. al. 2022,1-palmitoleoyl-GPC (16:1)*
rs603424,metabolite_100009160,2.852e-14,SCD,Yin et. al. 2022,1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*
rs603424,metabolite_100016069,2.669e-12,SCD,Yin et. al. 2022,5-dodecenoylcarnitine (C12:1)
rs603424,metabolite_452,9.901e-14,SCD,Yin et. al. 2022,palmitoleate (16:1n7)
rs2902548,metabolite_806,1.209e-14,unknown,Yin et. al. 2022,dimethylglycine
rs3740392,metabolite_100001988,5.941e-11,CYP17A1,Yin et. al. 2022,"5alpha-pregnan-3beta,20alpha-diol disulfate"
rs121965043,metabolite_100020361,3.731e-35,OAT,Yin et. al. 2022,3-amino-2-piperidone
rs121965043,metabolite_444,1.632e-27,OAT,Yin et. al. 2022,ornithine
rs2807074,metabolite_100020361,6.277e-16,OAT,Yin et. al. 2022,3-amino-2-piperidone
rs139016727,metabolite_100004541,3.191e-28,PAOX,Yin et. al. 2022,acisoga
rs139016727,metabolite_100016038,6.887e-27,PAOX,Yin et. al. 2022,(N(1) + N(8))-acetylspermidine
rs139016727,metabolite_100020487,5.74e-19,PAOX,Yin et. al. 2022,N-acetyl-isoputreanine
rs149892378,metabolite_100004541,4.075e-45,PAOX,Yin et. al. 2022,acisoga
rs149892378,metabolite_100020487,2.869e-23,PAOX,Yin et. al. 2022,N-acetyl-isoputreanine
rs11101730,metabolite_100016038,2.461e-37,PAOX,Yin et. al. 2022,(N(1) + N(8))-acetylspermidine
rs2265908,metabolite_100020487,1.805e-52,PAOX,Yin et. al. 2022,N-acetyl-isoputreanine
rs75659883,metabolite_100006129,1.549e-16,TH,Yin et. al. 2022,vanillactate
rs183101996,metabolite_100004634,4.849e-12,TH,Yin et. al. 2022,3-methoxytyramine sulfate
rs183101996,metabolite_100006361,9.564e-27,TH,Yin et. al. 2022,dopamine 3-O-sulfate
rs7108915,metabolite_1342,3.92e-19,TH,Yin et. al. 2022,3-methoxytyrosine
rs200180914,metabolite_100006361,1.247e-49,TH,Yin et. al. 2022,dopamine 3-O-sulfate
rs35840390,metabolite_1342,1.217e-30,TH,Yin et. al. 2022,3-methoxytyrosine
rs10766469,metabolite_100001541,1.054e-29,LDHA,Yin et. al. 2022,2-hydroxy-3-methylvalerate
rs4150678,metabolite_100000263,1.819e-18,LDHA,Yin et. al. 2022,imidazole lactate
rs4596,metabolite_100001300,3.189e-73,LDHA,Yin et. al. 2022,alpha-hydroxyisovalerate
rs1268699195,metabolite_100001662,1.249e-12,unknown,Yin et. al. 2022,deoxycarnitine
rs10839234,metabolite_100001612,1.499e-57,FOLH1,Yin et. al. 2022,N-acetyl-aspartyl-glutamate (NAAG)
rs61886539,metabolite_100001612,5.403e-16,FOLH1,Yin et. al. 2022,N-acetyl-aspartyl-glutamate (NAAG)
rs174528,metabolite_100001433,6.76e-40,FADS1|FADS2,Yin et. al. 2022,1-arachidonylglycerol (20:4)
rs174529,metabolite_100009364,3.852e-79,FADS1|FADS2,Yin et. al. 2022,"phosphatidylcholine (18:0/20:2, 20:0/18:2)*"
rs174529,metabolite_100021000,2.835e-15,FADS1|FADS2,Yin et. al. 2022,hydroxypalmitoyl sphingomyelin (d18:1/16:0(OH))**
rs174530,metabolite_100001571,5.507e-48,FADS1|FADS2,Yin et. al. 2022,1-arachidonoyl-GPE (20:4n6)*
rs7943728,metabolite_100015840,4.221e-11,FADS1|FADS2,Yin et. al. 2022,dihomo-linolenoylcarnitine (C20:3n3 or 6)*
rs174537,metabolite_100010937,2.922e-66,FADS1|FADS2,Yin et. al. 2022,oleoyl-arachidonoyl-glycerol (18:1/20:4) [2]*
rs102275,metabolite_100001551,1.928e-181,FADS1|FADS2,Yin et. al. 2022,1-arachidonoyl-GPC (20:4n6)*
rs102275,metabolite_100001554,2.953e-178,FADS1|FADS2,Yin et. al. 2022,2-arachidonoyl-GPC (20:4)*
rs102275,metabolite_100008914,1.253e-188,unknown,Yin et. al. 2022,1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6)
rs102275,metabolite_100009014,2.05e-115,unknown,Yin et. al. 2022,1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*
rs102275,metabolite_100009139,8.516e-62,FADS1|FADS2,Yin et. al. 2022,1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)*
rs102275,metabolite_100010922,4.374e-43,FADS1|FADS2,Yin et. al. 2022,linoleoyl-arachidonoyl-glycerol (18:2/20:4) [1]*
rs102275,metabolite_100010949,3.123e-47,FADS1|FADS2,Yin et. al. 2022,stearoyl-arachidonoyl-glycerol (18:0/20:4) [1]*
rs4246215,metabolite_100002989,3.296e-14,unknown,Yin et. al. 2022,oleoyl-linoleoyl-glycerol (18:1/18:2) [1]
rs4246215,metabolite_100002990,1.123e-13,unknown,Yin et. al. 2022,oleoyl-linoleoyl-glycerol (18:1/18:2) [2]
rs781624780,metabolite_100000616,5.789e-21,FADS1|FADS2,Yin et. al. 2022,1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)
rs781624780,metabolite_100001395,5.224e-21,FADS1|FADS2,Yin et. al. 2022,1-linoleoyl-GPC (18:2)
rs781624780,metabolite_100001557,3.214e-17,FADS1|FADS2,Yin et. al. 2022,2-linoleoyl-GPC (18:2)*
rs781624780,metabolite_100001674,1.934e-21,FADS1|FADS2,Yin et. al. 2022,2-arachidonoyl-GPE (20:4)*
rs781624780,metabolite_100002877,1.069e-12,FADS1|FADS2,Yin et. al. 2022,1-(1-enyl-stearoyl)-GPC (P-18:0)*
rs781624780,metabolite_100008916,4.614e-13,FADS1|FADS2,Yin et. al. 2022,1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6)
rs781624780,metabolite_100008977,3.485e-12,FADS1|FADS2,Yin et. al. 2022,1-stearoyl-2-arachidonoyl-GPE (18:0/20:4)
rs781624780,metabolite_100009141,1.644e-25,FADS1|FADS2,Yin et. al. 2022,1-stearoyl-2-docosapentaenoyl-GPC (18:0/22:5n3)*
rs174548,metabolite_100002106,2.338e-22,FADS1|FADS2,Yin et. al. 2022,"sphingomyelin (d18:1/18:1, d18:2/18:0)"
